Nom_Lien,URL_Tracking
Lien_FAI_Bbox_Fit_FilRouge,https://tracking.publicidees.com/clic.php?promoid=155849&progid=5334&partid=63879
Lien_FAI_Bbox_Must_FilRouge,https://tracking.publicidees.com/clic.php?promoid=155941&progid=5334&partid=63879
LienTexte_FTTH_FilRouge,https://tracking.publicidees.com/clic.php?promoid=164783&progid=5334&partid=63879
Liens profonds FAILP_BBOX_Fibre,https://tracking.publicidees.com/clic.php?promoid=183750&progid=5334&partid=63879
Lien_FAI_ADSL,https://tracking.publicidees.com/clic.php?promoid=218235&progid=5334&partid=63879
Lien_FAI_Bbox_Ultym,https://tracking.publicidees.com/clic.php?promoid=218236&progid=5334&partid=63879
Lien_Fibre_Box + SmartTV,https://tracking.publicidees.com/clic.php?promoid=222180&progid=5334&partid=63879
Lien_FAI_Fibre_Générique_FilRouge,https://tracking.publicidees.com/clic.php?promoid=230693&progid=5334&partid=63879
Lien_Fibre_BoxSmartTV,https://tracking.publicidees.com/clic.php?promoid=237549&progid=5334&partid=63879
Lien_FAI_Fibre_Générique_FilRouge,https://tracking.publicidees.com/clic.php?promoid=240058&progid=5334&partid=63879
La Bbox Must est à 15,https://tracking.publicidees.com/clic.php?promoid=240189&progid=5334&partid=63879
Box + Smart TV,https://tracking.publicidees.com/clic.php?promoid=243568&progid=5334&partid=63879
Box + Smart TV,https://tracking.publicidees.com/clic.php?promoid=246637&progid=5334&partid=63879
Lien_FAI_Fibre_Générique_FilRouge,https://tracking.publicidees.com/clic.php?promoid=249507&progid=5334&partid=63879
Lien_FAI_5GBox_FilRouge,https://tracking.publicidees.com/clic.php?promoid=252690&progid=5334&partid=63879
Exclu client B&You > Série Spéciale Bbox fibre à 29€99,https://tracking.publicidees.com/clic.php?promoid=256560&progid=5334&partid=63879
Lien_FAI_Fibre_Générique_FilRouge,https://tracking.publicidees.com/clic.php?promoid=256989&progid=5334&partid=63879
Box + Smart TV,https://tracking.publicidees.com/clic.php?promoid=259319&progid=5334&partid=63879
Bbox BIG > Forfait FAM + BOX,https://tracking.publicidees.com/clic.php?promoid=262099&progid=5334&partid=63879
Box + Smart TV,https://tracking.publicidees.com/clic.php?promoid=265473&progid=5334&partid=63879
Bbox B&You Pure Fibre,https://tracking.publicidees.com/clic.php?promoid=262863&progid=5334&partid=63879
Box+ PS5,https://tracking.publicidees.com/clic.php?promoid=263159&progid=5334&partid=63879
Box + Xbox Series,https://tracking.publicidees.com/clic.php?promoid=263172&progid=5334&partid=63879
Box + iPad,https://tracking.publicidees.com/clic.php?promoid=264728&progid=5334&partid=63879
Lien_FAI_Fibre_Générique_FilRouge,https://tracking.publicidees.com/clic.php?promoid=265349&progid=5334&partid=63879